
## enemy

+----------------+-------+-------+
| enemy          | 固定  | 遊走  |
+----------------+-------+-------+
| 痲瘋病人       |       |       |
| 熊             |       |       |
| 狼             |       |       |
| 被咒騎士       |       |       |
| 被咒瘟疫騎士   |       |       |
| 被咒者         |       |       |
| 冰原狼         |       |       |
+----------------+-------+-------+


## event

+----------------+-------+-------+
| event          | 數量  |       |
+----------------+-------+-------+
| 動物屍體       |       |       |
| 馬車           |       |       |
+----------------+-------+-------+


## 收穫

+----------------+-------+-------+-------+
| 物品           | 數量  | 採集  | 消耗  |
+----------------+-------+-------+-------+
| 原松木         | 94    |       |       |
| 石灰岩         | 16    |       |       |
| 亞麻纖維       | 23    |       |       |
| 冬青果         |       |       |       |
| 山楂           |       |       |       |
| 繩子           | 2     |       |       |
| 布料           | 2     |       |       |
| 動物毛皮       | 5     |       |       |
| 皮條           | 2     |       |       |
| 碎銅片         | 6     |       |       |
| 銅礦石         | 6     |       |       |
| 錫             |       |       |       |
| 青銅釘         |       |       |       |
| 線             | 1     |       |       |
| 硝酸鉀         |       |       |       |
| 煤炭           |       |       |       |
| 硫磺           |       |       |       |
| 生肉           | 5     |       |       |
| 蜂蜜           |       |       |       |
| 空水桶         |       |       |       |
| 恐狼飼料       |       |       |       |
| 韭菜種         | 4     |       |       |
| 水稻種         |       |       |       |
| 燕麥種         |       |       |       |
| 蠟燭           | 1     |       |       |
| 沙漏           |       |       |       |
| 鐵鍊           |       |       |       |
| 鐵窗           |       |       |       |
| 湯匙           |       |       |       |
| 叉子           |       |       |       |
| 梳子           |       |       |       |
| 戒指           |       |       |       |
| 地圖碎片       | 2     |       |       |
| 技能水晶       |       |       |       |
| 稀有地圖碎片   |       |       |       |
| 武器油         |       |       |       |
| U型釘          |       |       |       |
| 機械裝置       |       |       |       |
| 水袋           |       |       |       |
+----------------+-------+-------+-------+

